FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,59,CFD,100,Corporate Fund,1005,Chicago Fire Department,2005,Chicago Fire Department,3112,Fire Prevention,4146,Inspections,F 4P,87,8812,Lieutenant - Paramedic,Annual,1,1,120804.00,120804.00
Local,23,DCASE,355,Special Events and Municipal Hotel Operators' Occupation Tax Fund,1005,DCASE,2015,Department of Cultural Affairs and Special Events,3215,Events Programming,4235,Event Permits,BX 15,10,1756,Cultural Affairs Coordinator II,Annual,1,1,61776.00,61776.00
Grant,41,HEALTH,0U52,Building Epidemiology and Health It Capacity,1005,DEPARTMENT OF PUBLIC HEALTH,2710,Building Epidemiology and Health IT Capacity,3710,Building Epidemiology and Health IT Capacity,0,,B 09,1,832,Personal Computer Operator II,Annual,1,1,60744.00,60744.00
Local,84,CDOT,100,Corporate Fund,1155,IN-HOUSE CONSTRUCTION,2155,Division of In-House Construction,3256,Labor,4262,Bridges,2 0,41,4855,Sheet Metal Worker,Hourly,2,1,44.25,184080.00
Local,84,CDOT,100,Corporate Fund,1150,ELECTRICAL OPERATIONS,2150,Division of Electrical Operations,3270,Electrical Operations and Maintenance,4270,Electrical Administration,B 15,1,1302,Administrative Services Officer II,Annual,1,1,116280.00,116280.00
Local,84,CDOT,310,Motor Fuel Tax Fund,1150,ELECTRICAL OPERATIONS,2150,Division of Electrical Operations,3270,Electrical Operations and Maintenance,4273,Street Light Maintenance,2 0,29,5061,Lamp Maintenance Worker,Hourly,4,1,40.48,336794.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2103,Bureau of Finance and Administration,3110,Finance and Administration,4140,Contract Management,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,7637.00,7637.00
Local,38,FFM,100,Corporate Fund,1005,Fleet & Facility Management,2140,Bureau of Fleet Operations,3219,Fleet Maintenance Operations,0,,2 0,24,6607,Foreman of Blacksmiths,Hourly,1,1,51.34,106787.00
Local,70,BACP,100,Corporate Fund,1005,BACP,2005,Department of Business Affairs and Consumer Protection,3018,Public Vehicle Licenses and Permits,4026,Vehicle Inspection,R 14,36,1276,Supervisor of Public Vehicle Inspectors,Annual,1,1,96528.00,96528.00
Grant,41,HEALTH,0U26,Maternal and Child Health,1005,DEPARTMENT OF PUBLIC HEALTH,2910,Maternal and Child Health Block Grant,3913,MCH Case Management,0,,S 05,37,3752,Public Health Nurse II,Annual,1,1,107340.00,107340.00
