FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,BX 17,10,1981,Coordinator of Economic Development,Annual,1,1,84780.00,84780.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,BX 15,20,1302,Administrative Services Officer II,Annual,1,1,80916.00,80916.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,80256.00,80256.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,BX 13,20,0366,Staff Assistant - Excluded,Annual,1,1,64152.00,64152.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,BX 12,20,0323,Administrative Assistant III - Excluded,Annual,1,1,60408.00,60408.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,3 00,0,0306,Assistant Director,Annual,1,1,96456.00,96456.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,1 00,0,0044,Fringe Benefits,Annual,0,0,173105.00,173105.00
CDBG,5,OFFICE OF BUDGET & MANAGEMENT,0K40,CDBG,1005,OFFICE OF BUDGET & MANAGEMENT,2505,ADMINISTRATION AND MONITORING,3505,Administration and Monitoring,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,4809.00,4809.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,G 04,4,1143,Operations Analyst,Annual,1,1,69300.00,69300.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,B 09,1,0665,Senior Data Entry Operator,Annual,1,1,55212.00,55212.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,3 00,10,0187,Director of Accounting,Annual,1,1,99108.00,99108.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,3 00,10,0120,Supervisor of Accounting,Annual,1,1,95832.00,95832.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,3 00,9,0105,Assistant Comptroller,Annual,1,1,104064.00,104064.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,G 07,4,0104,Accountant IV,Annual,1,1,86532.00,86532.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,G 07,4,0104,Accountant IV,Annual,1,1,65424.00,65424.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,G 06,4,0103,Accountant III,Annual,1,1,59268.00,59268.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,G 04,4,0101,Accountant I,Annual,1,1,48828.00,48828.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,1 00,0,0044,Fringe Benefits,Annual,0,0,253400.00,253400.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3512,Grant and Project Accounting,4512,Fiscal Management  Accounting and Auditing Services,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,4284.00,4284.00
CDBG,27,FINANCE,0K40,CDBG,1005,FINANCE,2512,ACCOUNTING FINANCIAL REPORTING,3515,Internal Audit,0,,B 12,1,0303,Administrative Assistant III,Annual,1,1,45372.00,45372.00
